prefecture,category,source_count,db_count,diff
三重県,土砂災害警戒区域,45038,0,45038
三重県,急傾斜地崩壊危険区域,903,0,903
三重県,洪水_01_計画規模,81064,0,81064
三重県,洪水_02_想定最大規模,211513,0,211513
三重県,洪水_03_浸水継続時間,4911,0,4911
三重県,高潮想定区域,91658,0,91658
京都府,土砂災害警戒区域,37279,0,37279
京都府,洪水_20_想定最大規模,145694,0,145694
京都府,洪水_30_浸水継続時間,10794,0,10794
京都府,洪水_41_家屋倒壊等氾濫想定区域_氾濫流,596,0,596
京都府,洪水_42_家屋倒壊等氾濫想定区域_河岸侵食,387,0,387
佐賀県,土砂災害警戒区域,25614,0,25614
佐賀県,急傾斜地崩壊危険区域,520,0,520
佐賀県,津波浸水想定,58400,0,58400
佐賀県,洪水_01_計画規模,97069,0,97069
佐賀県,洪水_02_想定最大規模,242688,0,242688
佐賀県,洪水_03_浸水継続時間,31984,0,31984
佐賀県,高潮想定区域,80678,0,80678
兵庫県,土砂災害警戒区域,38182,0,38182
兵庫県,津波浸水想定,10903,0,10903
兵庫県,洪水_01_計画規模,15642,0,15642
兵庫県,洪水_02_想定最大規模,63886,0,63886
兵庫県,高潮想定区域,122426,0,122426
北海道,土砂災害警戒区域,22916,0,22916
北海道,急傾斜地崩壊危険区域,414,0,414
北海道,津波浸水想定,563208,0,563208
北海道,洪水_01_計画規模,177586,0,177586
北海道,洪水_02_想定最大規模,373633,0,373633
北海道,洪水_03_浸水継続時間,35331,0,35331
千葉県,土砂災害警戒区域,30675,0,30675
千葉県,急傾斜地崩壊危険区域,548,0,548
千葉県,津波浸水想定,175389,0,175389
千葉県,洪水_01_計画規模,47469,0,47469
千葉県,洪水_02_想定最大規模,153177,0,153177
千葉県,洪水_03_浸水継続時間,25360,0,25360
千葉県,高潮想定区域,114787,0,114787
和歌山県,土砂災害警戒区域,50377,0,50377
和歌山県,急傾斜地崩壊危険区域,1240,0,1240
和歌山県,津波浸水想定,107978,0,107978
和歌山県,洪水_01_計画規模,8144,0,8144
和歌山県,洪水_02_想定最大規模,94210,0,94210
和歌山県,洪水_03_浸水継続時間,9515,0,9515
埼玉県,土砂災害警戒区域,10051,0,10051
埼玉県,急傾斜地崩壊危険区域,95,0,95
埼玉県,洪水_01_計画規模,93730,0,93730
埼玉県,洪水_02_想定最大規模,222166,0,222166
埼玉県,洪水_03_浸水継続時間,50390,0,50390
大分県,土砂災害警戒区域,49075,0,49075
大分県,洪水_01_計画規模,14663,0,14663
大分県,洪水_02_想定最大規模,31820,0,31820
大分県,洪水_03_浸水継続時間,1316,0,1316
大分県,高潮想定区域,99060,0,99060
大阪府,土砂災害警戒区域,16556,0,16556
大阪府,急傾斜地崩壊危険区域,194,0,194
大阪府,津波浸水想定,42434,0,42434
大阪府,洪水_01_計画規模,27005,0,27005
大阪府,洪水_02_想定最大規模,201339,0,201339
大阪府,洪水_03_浸水継続時間,17578,0,17578
大阪府,高潮想定区域,20659,0,20659
奈良県,土砂災害警戒区域,24932,0,24932
奈良県,洪水_10_計画規模,78639,0,78639
奈良県,洪水_20_想定最大規模,139373,0,139373
奈良県,洪水_30_浸水継続時間,11260,0,11260
奈良県,洪水_41_家屋倒壊等氾濫想定区域_氾濫流,227,0,227
奈良県,洪水_42_家屋倒壊等氾濫想定区域_河岸侵食,742,0,742
宮城県,土砂災害警戒区域,20203,0,20203
宮城県,急傾斜地崩壊危険区域,46,0,46
宮城県,津波浸水想定,204101,0,204101
宮城県,洪水_01_計画規模,19183,0,19183
宮城県,洪水_01_計画規模\A31a-10-22_04_0400070001_10.geojson,359,0,359
宮城県,洪水_01_計画規模\A31a-10-22_04_0400070004_20.geojson,941,0,941
宮城県,洪水_01_計画規模\A31a-10-22_04_8202010034_20.geojson,1079,0,1079
宮城県,洪水_01_計画規模\A31a-10-22_04_8202010038_10.geojson,975,0,975
宮城県,洪水_01_計画規模\A31a-10-22_04_8202040020_10.geojson,13541,0,13541
宮城県,洪水_02_想定最大規模,61224,0,61224
宮城県,洪水_02_想定最大規模\A31a-20-22_04_8202010034_20.geojson,1079,0,1079
宮城県,洪水_02_想定最大規模\A31a-20-22_04_8202010038_10.geojson,2570,0,2570
宮城県,洪水_02_想定最大規模\A31a-20-22_04_8202040020_10.geojson,17496,0,17496
宮城県,洪水_03_浸水継続時間,5317,0,5317
宮城県,洪水_03_浸水継続時間\A31a-30-22_04_8202010038_10.geojson,914,0,914
宮城県,洪水_03_浸水継続時間\A31a-30-22_04_8202040020_10.geojson,4134,0,4134
宮城県,洪水_04_家屋倒壊等氾濫想定区域\A31a-40-22_04_0400280001_10.geojson,75,0,75
宮城県,洪水_04_家屋倒壊等氾濫想定区域\A31a-40-22_04_0400280003_10.geojson,8,0,8
宮城県,洪水_04_家屋倒壊等氾濫想定区域\A31a-40-22_04_8202040020_10.geojson,7,0,7
宮崎県,土砂災害警戒区域,32181,0,32181
宮崎県,津波浸水想定,76415,0,76415
宮崎県,洪水_01_計画規模,16343,0,16343
宮崎県,洪水_02_想定最大規模,79678,0,79678
宮崎県,洪水_03_浸水継続時間,3499,0,3499
宮崎県,高潮想定区域,58078,0,58078
富山県,土砂災害警戒区域,14677,0,14677
富山県,急傾斜地崩壊危険区域,625,0,625
富山県,津波浸水想定,20017,0,20017
富山県,洪水_01_計画規模,57382,0,57382
富山県,洪水_02_想定最大規模,206528,0,206528
富山県,洪水_03_浸水継続時間,21554,0,21554
山口県,土砂災害警戒区域,72003,0,72003
山口県,津波浸水想定,109310,0,109310
山口県,洪水_01_計画規模,28515,0,28515
山口県,洪水_02_想定最大規模,57092,0,57092
山口県,洪水_03_浸水継続時間,6638,0,6638
山口県,高潮想定区域,74107,0,74107
山形県,土砂災害警戒区域,9089,0,9089
山形県,急傾斜地崩壊危険区域,320,0,320
山形県,津波浸水想定,14622,0,14622
山形県,洪水_01_計画規模,73009,0,73009
山形県,洪水_01_計画規模\A31a-10-22_06_8202110087_10.geojson,23,0,23
山形県,洪水_01_計画規模\A31a-10-22_06_8202110112_10.geojson,83,0,83
山形県,洪水_01_計画規模\A31a-10-22_06_8202110124_10.geojson,280,0,280
山形県,洪水_01_計画規模\A31a-10-22_06_8202110263_10.geojson,1464,0,1464
山形県,洪水_01_計画規模\A31a-10-22_06_8202110265_10.geojson,1467,0,1467
山形県,洪水_01_計画規模\A31a-10-22_06_8202110277_10.geojson,1627,0,1627
山形県,洪水_02_想定最大規模,210755,0,210755
山形県,洪水_02_想定最大規模\A31a-20-22_06_8202110087_10.geojson,4365,0,4365
